4-07,4,7,Haze Against the Machine,Rescue,New England IPA,6.8%,N/A,Inland Empire
4-08,4,8,King MO,New Glory,Hazy IPA,6.8%,N/A,Sacramento
4-09,4,9,Keep it Nelson,Burgeon Beer ,IPA,6.8%,50,San Diego
4-10,4,10,Point Conception,Figueroa Mountain,West Coast IPA,7.2%,68,Central Coast
4-11,4,11,Thousand Steps,Laguna Beach,West Coast IPA,7.0%,70,Orange County
4-12,4,12,Dog Years IPA,Bike Dog,IPA,7.0%,N/A,Sacramento
4-13,4,13,Seance Crasher,Original Pattern,IPA,7.0%,N/A,SF Bay Area
4-14,4,14,Covenant,Stone Church,IPA,7.1%,70,Inland Empire
4-15,4,15,Agreeable Folk,Societe,West Coast IPA,7.5%,N/A,San Diego
4-16,4,16,Chocolate Vanilla Swirl,Booze Brothers,Brown Ale (Cacao & vanilla),7.0%,31,San Diego
4-17,4,17,Jess y James,Aftershock,Imperial Stout,9.9%,64,Inland Empire
4-18,4,18,Power Plant TIPA,El Segundo,TIPA,11.1%,90,LA County
